police_station,h3_cell,location_name,lat,lon,priority_rank,priority_score,CIS,predicted_risk,trend_direction,hotspot_status,recommended_shift,peak_hour,bpr_delay,violation_count,reasoning
Vijayanagara,896014586bbffff,Vijayanagara / Cell-bbffff,12.9951667,77.53539,1,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,night_shift,2:00,0.11,1,Heavy vehicles dominant (TOURIST BUS)
Vijayanagara,89601458493ffff,Vijayanagara / Cell-93ffff,12.968840871206709,77.53697829739298,2,4.7,18.9,24.6,RISING,EMERGING,morning_shift,10:00,0.07,580,Violations RISING — proactive enforcement needed | 13 repeat offenders identified
Vijayanagara,8960145b16bffff,Vijayanagara / Cell-6bffff,12.997517276670756,77.54902406893055,3,4.6,25.7,18.0,FALLING,CONFIRMED_HIGH,morning_shift,8:00,0.07,1582,Violations declining — maintain presence | 39 repeat offenders identified
Vijayanagara,896014584d7ffff,Vijayanagara / Cell-d7ffff,12.973849266666669,77.53909370000001,4,4.4,18.4,23.9,RISING,EMERGING,morning_shift,9:00,0.07,3,Violations RISING — proactive enforcement needed | Peak hour concentration (100%)
Vijayanagara,8960145849bffff,Vijayanagara / Cell-9bffff,12.97253029535594,77.53798020957785,5,4.2,20.5,20.5,STABLE,EMERGING,morning_shift,10:00,0.07,538,8 repeat offenders identified
Whitefield,896189218a3ffff,Whitefield / Cell-a3ffff,12.985454286666666,77.74566034285714,1,31.4,49.1,63.8,RISING,EMERGING,morning_shift,10:00,0.11,105,Moderate congestion impact (CIS=49/100) | Violations RISING — proactive enforcement needed | Peak hour concentration (72%)
Whitefield,8961892012fffff,Whitefield / Cell-2fffff,12.93600269327434,77.74866616520504,2,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,morning_shift,12:00,0.11,1,Heavy vehicles dominant (TOURIST BUS)
Whitefield,89618920ed3ffff,Whitefield / Cell-d3ffff,12.9445675,77.7532548,3,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,night_shift,2:00,0.11,1,Heavy vehicles dominant (BUS (BMTC/KSRTC))
Whitefield,89618920ed7ffff,Whitefield / Cell-d7ffff,12.94327401818182,77.7497482909091,4,6.9,23.0,29.9,RISING,NOT_HOTSPOT,morning_shift,13:00,0.11,11,Violations RISING — proactive enforcement needed
Whitefield,89618927663ffff,Whitefield / Cell-63ffff,12.901819385714283,77.70765628571428,5,6.3,22.0,28.6,RISING,NOT_HOTSPOT,morning_shift,4:00,0.11,7,Violations RISING — proactive enforcement needed
Wilson Garden,89618925b93ffff,Wilson Garden / Cell-93ffff,12.947258741666666,77.5912056875,1,7.3,23.7,30.8,RISING,NOT_HOTSPOT,morning_shift,2:00,0.11,24,Violations RISING — proactive enforcement needed
Wilson Garden,89618925bd7ffff,Wilson Garden / Cell-d7ffff,12.953941897619048,77.59331144761904,2,4.0,17.6,22.9,RISING,EMERGING,morning_shift,9:00,0.07,42,Violations RISING — proactive enforcement needed | Peak hour concentration (52%)
Wilson Garden,89618925b83ffff,Wilson Garden / Cell-83ffff,12.947158684444444,77.59062622444443,3,4.0,17.5,22.7,RISING,EMERGING,morning_shift,2:00,0.07,45,Violations RISING — proactive enforcement needed
Wilson Garden,8961892594bffff,Wilson Garden / Cell-4bffff,12.944531534545456,77.58609528909092,4,4.0,23.8,16.7,FALLING,EMERGING,morning_shift,2:00,0.11,55,Violations declining — maintain presence
Wilson Garden,89618925b1bffff,Wilson Garden / Cell-1bffff,12.9575306,77.589077025,5,3.7,19.3,19.3,STABLE,NOT_HOTSPOT,morning_shift,11:00,0.11,4,Standard priority zone
Yelahanka,8960169661bffff,Yelahanka / Cell-1bffff,13.106077485714286,77.60044798571428,1,7.6,24.2,31.5,RISING,NOT_HOTSPOT,night_shift,4:00,0.11,7,Violations RISING — proactive enforcement needed
Yelahanka,89601459213ffff,Yelahanka / Cell-13ffff,13.0664254,77.5524418,2,6.5,28.5,22.8,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.11,1,Peak hour concentration (100%)
Yelahanka,89601696423ffff,Yelahanka / Cell-23ffff,13.084325,77.582925,3,5.3,25.8,20.6,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.11,6,Peak hour concentration (100%)
Yelahanka,896016965cbffff,Yelahanka / Cell-cbffff,13.0802993,77.5799528,4,5.0,25.1,20.0,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.11,3,Peak hour concentration (100%)
Yelahanka,8960169601bffff,Yelahanka / Cell-1bffff,13.099163084415585,77.57749624415584,5,4.3,20.7,20.7,STABLE,EMERGING,night_shift,5:00,0.07,77,Standard priority zone
Yeshwanthpura,896014594bbffff,Yeshwanthpura / Cell-bbffff,13.0251005,77.559003,1,9.6,34.6,27.6,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.11,1,Heavy vehicles dominant (LGV) | Peak hour concentration (100%)
Yeshwanthpura,8960145918bffff,Yeshwanthpura / Cell-8bffff,13.034238772222222,77.53006138055555,2,9.0,26.4,34.3,RISING,NOT_HOTSPOT,night_shift,2:00,0.11,12,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (CAR)
Yeshwanthpura,89601459523ffff,Yeshwanthpura / Cell-23ffff,13.022401802857145,77.53272677285715,3,5.3,23.0,23.0,STABLE,NOT_HOTSPOT,morning_shift,10:00,0.07,70,Heavy vehicles dominant (HGV)
Yeshwanthpura,8960145919bffff,Yeshwanthpura / Cell-9bffff,13.033788333333332,77.53052666666667,4,4.5,23.6,18.9,UNKNOWN,NOT_HOTSPOT,morning_shift,7:00,0.11,2,Standard priority zone
Yeshwanthpura,8960145b34bffff,Yeshwanthpura / Cell-4bffff,13.0199518,77.56238665,5,3.5,16.5,21.5,RISING,NOT_HOTSPOT,morning_shift,8:00,0.07,8,Violations RISING — proactive enforcement needed | Peak hour concentration (62%)
